frequency,raw
1612.699, 4.834
1636.156, 4.979
1659.955, 5.128
1684.099, 5.280
1708.595, 5.434
1733.447, 5.594
1758.661, 5.761
1784.241, 5.933
1810.193, 6.109
1836.523, 6.288
1863.236, 6.468
1890.338, 6.651
1917.833, 6.841
1945.729, 7.035
1974.030, 7.245
2002.743, 7.430
2031.873, 7.596
2061.428, 7.759
2091.412, 7.920
2121.832, 8.083
2152.695, 8.242
2184.007, 8.392
2215.774, 8.536
2248.003, 8.679
2280.701, 8.826
2313.874, 8.976
2347.530, 9.123
2381.676, 9.262
2416.318, 9.397
2451.464, 9.523
2487.122, 9.629
2523.298, 9.708
2560.000, 9.781
2597.236, 9.854
2635.014, 9.953
2673.341, 10.045
2712.226, 10.118
2751.676, 10.177
2791.700, 10.234
2832.306, 10.292
2873.503, 10.350
2915.299, 10.410
2957.703, 10.472
3000.724, 10.534
3044.370, 10.593
3088.652, 10.655
3133.577, 10.708
3179.156, 10.742
3225.398, 10.774
3272.312, 10.805
3319.909, 10.825
3368.198, 10.838
3417.190, 10.846
3466.894, 10.850
3517.321, 10.855
3568.482, 10.849
3620.387, 10.828
3673.046, 10.798
3726.472, 10.762
3780.675, 10.711
3835.666, 10.652
3891.457, 10.586
3948.060, 10.514
4005.486, 10.433
4063.747, 10.342
4122.855, 10.247
4182.824, 10.147
4243.664, 10.040
4305.390, 9.929
4368.013, 9.814
4431.547, 9.691
4496.005, 9.563
4561.401, 9.431
4627.749, 9.291
4695.061, 9.148
4763.352, 9.005
4832.637, 8.877
4902.929, 8.752
4974.244, 8.621
5046.596, 8.483
5120.000, 8.351
5194.472, 8.228
5270.027, 8.110
5346.682, 7.998
5424.451, 7.896
5503.352, 7.805
5583.399, 7.716
5664.612, 7.626
5747.006, 7.536
5830.598, 7.447
5915.406, 7.361
6001.447, 7.275
6088.740, 7.175
6177.303, 7.052
6267.154, 6.933
6358.312, 6.828
6450.796, 6.723
6544.625, 6.614
6639.818, 6.502
6736.397, 6.390
6834.380, 6.264
6933.789, 6.120
7034.643, 5.973
7136.964, 5.826
7240.773, 5.680
7346.093, 5.532
7452.944, 5.380
7561.350, 5.225
7671.332, 5.071
7782.915, 4.923
7896.120, 4.773
8010.971, 4.621
8127.493, 4.455
8245.711, 4.281
8365.647, 4.103
8487.328, 3.926
8610.779, 3.747
8736.026, 3.569
8863.095, 3.379
8992.011, 3.172
9122.803, 2.979
9255.497, 2.798
9390.121, 2.603
9526.704, 2.385
9665.273, 2.139
9805.857, 1.890
9948.487, 1.644
10093.191, 1.401
10240.000, 1.172
10388.944, 0.909
10540.055, 0.696
10693.363, 0.462
10848.902, 0.129
11006.703, -0.228
11166.799, -0.537
11329.224, -0.842
11494.012, -1.198
11661.195, -1.562
11830.812, -1.894
12002.895, -2.214
12177.480, -2.524
12354.606, -2.835
12534.309, -3.170
12716.624, -3.519
12901.592, -3.867
13089.250, -4.139
13279.637, -4.338
13472.794, -4.522
13668.760, -4.700
13867.577, -4.877
14069.285, -5.040
14273.928, -5.194
14481.547, -5.349
14692.186, -5.499
14905.889, -5.621
15122.700, -5.729
15342.664, -5.834
15565.829, -5.965
15792.239, -6.128
16021.942, -6.298
16254.986, -6.477
16491.422, -6.719
16731.295, -7.024
16974.656, -7.329
17221.559, -7.678
17472.053, -8.131
17726.189, -8.853
17984.021, -9.512
18245.605, -10.244
18510.994, -11.096
18780.242, -12.234
19053.408, -13.382
19330.547, -14.482
19611.715, -16.288
19896.975, -17.940
